Title,Description,Specs,Price,Images
Rolex Oyster Perpetual 67193 Champagne Dial,"The Rolex Oyster Perpetual 67193 is a classic luxury watch that is known for its timeless design, durability, and accuracy. It is a popular choice among explorers, climbers, and other professionals who demand a reliable timepiece. The Oyster Perpetual 67193 features a 26mm Steel/tellow gold case, a white dial with 3-6-9 numerals, and a date window at 3 o'clock. It is powered by an automatic movement and is water-resistant to 100 meters.","{""Brand"": ""Rolex"", ""Reference #"": ""67193"", ""Serial N."": ""967XXXX"", ""Movement"": ""Automatic"", ""Case Material"": ""Steel/Yellow Gold"", ""Case Diameter (mm)"": ""26"", ""Case Shape"": ""Round"", ""Crystal"": ""Sapphire Crystal"", ""Dial"": ""Champagne"", ""Bracelet"": ""OYSTER"", ""Clasp Style"": ""Folding Clasp"", ""Water Resistances"": ""100 Meters"", ""Power Reserve"": ""42 Hours"", ""Paper Status"": ""-"", ""Condition"": ""Excellent"", ""Warranty"": ""2 Years"", ""Chrononation SKU"": ""RX0974-02""}",2950.00,"['https://cdn.shopify.com/s/files/1/0059/5152/0820/files/removal.ai__c058cc09-2b67-4c1a-9c20-41f83a1c6612-27702.png?v=1705495646', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/27702-a1_a5aee01f-3e20-45f0-b3b2-535e4ae9a4ab.jpg?v=1705495645', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/27702-a2_500772e0-0734-4f84-90f4-ffbdcb6adc7d.jpg?v=1705495645', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/27702-a3_81fecba8-4758-4b04-9090-86b1576ceaf2.jpg?v=1705495645', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/27702-a4_8e6aa85f-2b22-423a-9750-078fc8e73116.jpg?v=1705495646']"
Rolex Gmt-Master 126711CHNR Root Beer Dial Aug 2020,"The Rolex GMT-Master 126711CHNR Root Beer is a luxury GMT watch that is perfect for anyone who loves the unique look of the Root Beer bezel. It features a 40mm Rolesium case with a brown and black Cerachrom bezel, a brown dial with luminous hour markers and hands, and a date window at 3 o'clock. The watch is powered by a self-winding movement and is water resistant to 100 meters. It comes with a Rolesium bracelet and a folding Oysterclasp.","{""Brand"": ""Rolex"", ""Reference #"": ""126711CHNR"", ""Serial N."": ""736CXXXX"", ""Movement"": ""Automatic"", ""Crystal"": ""Sapphire Crystal"", ""Dial"": ""ROOT BEER"", ""Bracelet"": ""OYSTER"", ""Paper Status"": ""28-Aug-2020"", ""Condition"": ""Excellent"", ""Warranty"": ""2 Years"", ""Chrononation SKU"": ""RX1769-02""}",18750.00,"['https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Gmt-Master_126711CHNR_Root_Beer_Dial_Aug_2020.png?v=1723809426', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Gmt-Master_126711CHNR_Root_Beer_Dial_Aug_2020.jpg?v=1723809433', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Gmt-Master_126711CHNR_Root_Beer_Dial_Aug_2020-3.jpg?v=1723809442', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Gmt-Master_126711CHNR_Root_Beer_Dial_Aug_2020-4.jpg?v=1723809451', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Gmt-Master_126711CHNR_Root_Beer_Dial_Aug_2020-5.jpg?v=1723809459', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Gmt-Master_126711CHNR_Root_Beer_Dial_Aug_2020-6.jpg?v=1723809466', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Gmt-Master_126711CHNR_Root_Beer_Dial_Aug_2020-7.jpg?v=1723809473']"
Rolex Sea-Dweller Deepsea 126660 D-Blue Dial Jun 2018,"Introducing the Rolex Sea-Dweller Deepsea 126660, a timepiece renowned for its exceptional craftsmanship and cutting-edge technology. This distinguished watch features an automatic movement housed in a robust 44mm stainless steel case, ensuring both precision and durability. The scratch-resistant sapphire crystal protects the striking deep blue dial, showcasing a mesmerizing gradient effect.","{""Brand"": ""Rolex"", ""Reference #"": ""126660"", ""Serial N."": ""5H2SXXXX"", ""Movement"": ""Automatic"", ""Crystal"": ""Sapphire Crystal"", ""Dial"": ""D-BLUE"", ""Bracelet"": ""OYSTER"", ""Paper Status"": ""20-jun-2018"", ""Condition"": ""Excellent"", ""Warranty"": ""2 Years"", ""Chrononation SKU"": ""RX1768-02""}",13200.00,"['https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Sea-Dweller_Deepsea_126660_D-Blue_Dial_Jun_2018.png?v=1723809199', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Sea-Dweller_Deepsea_126660_D-Blue_Dial_Jun_2018.jpg?v=1723809206', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Sea-Dweller_Deepsea_126660_D-Blue_Dial_Jun_2018-3.jpg?v=1723809214', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Sea-Dweller_Deepsea_126660_D-Blue_Dial_Jun_2018-4.jpg?v=1723809221', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Sea-Dweller_Deepsea_126660_D-Blue_Dial_Jun_2018-5.jpg?v=1723809228', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Sea-Dweller_Deepsea_126660_D-Blue_Dial_Jun_2018-6.jpg?v=1723809235', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Sea-Dweller_Deepsea_126660_D-Blue_Dial_Jun_2018-7.jpg?v=1723809244']"
Rolex Datejust 126333 Black Dial May 2021,"The Rolex Datejust 126333 is a luxurious and timeless watch that combines classic style with modern features. It features a 41mm stainless steel case with a fluted bezel, a black dial with Roman numerals, and a date window at 3 o'clock. The watch is powered by a self-winding movement and is water resistant to 100 meters. It comes with a Jubilee oyster and a deployant clasp.","{""Brand"": ""Rolex"", ""Reference #"": ""126333"", ""Serial N."": ""3100XXXX"", ""Movement"": ""Automatic"", ""Crystal"": ""Sapphire Crystal"", ""Dial"": ""BLACK"", ""Bracelet"": ""OYSTER"", ""Paper Status"": ""17-may-2021"", ""Condition"": ""Excellent"", ""Warranty"": ""2 Years"", ""Chrononation SKU"": ""RX1767-02""}",13600.00,"['https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126333_Black_Dial_May_2021.png?v=1723808957', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126333_Black_Dial_May_2021.jpg?v=1723808964', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126333_Black_Dial_May_2021-3.jpg?v=1723808972', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126333_Black_Dial_May_2021-4.jpg?v=1723808980', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126333_Black_Dial_May_2021-5.jpg?v=1723808988', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126333_Black_Dial_May_2021-6.jpg?v=1723808996', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126333_Black_Dial_May_2021-7.jpg?v=1723809004']"
Rolex Datejust 126300 Green Dial Apr 2024,"The Rolex Datejust 126300 is a luxury automatic watch that is known for its stylish design, Swiss craftsmanship, and high-quality materials. This particular model is made of stainless steel and features a beautiful green dial, domed bezel, oyster bracelet, and sapphire crystal. The watch is 41mm in size and is water-resistant to 100 meters. It also features an in-house caliber 3136 movement, which is a testament to its accuracy and reliability.","{""Brand"": ""Rolex"", ""Reference #"": ""126300"", ""Serial N."": ""123YXXXX"", ""Movement"": ""Automatic"", ""Crystal"": ""Sapphire Crystal"", ""Dial"": ""GREEN"", ""Bracelet"": ""JUBILEE"", ""Paper Status"": ""21-Apr-2024"", ""Condition"": ""Excellent"", ""Warranty"": ""2 Years"", ""Chrononation SKU"": ""RX1766-02""}",11450.00,"['https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126300_Green_Dial_Apr_2024.png?v=1723734065', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126300_Green_Dial_Apr_2024.jpg?v=1723734072', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126300_Green_Dial_Apr_2024-3.jpg?v=1723734080', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126300_Green_Dial_Apr_2024-4.jpg?v=1723734088', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126300_Green_Dial_Apr_2024-5.jpg?v=1723734095', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126300_Green_Dial_Apr_2024-6.jpg?v=1723734102', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126300_Green_Dial_Apr_2024-7.jpg?v=1723734109']"
Rolex Datejust 126233G Champagne Diamond Dial Jan 2020,"The Rolex Datejust 126233G is a luxury watch that is known for its timeless design, durability, and accuracy. It is a popular choice among professionals and watch collectors alike. The Datejust 126233G features a 36mm stainless steel case with a fluted bezel, a champagne diamond dial, and a date window. It is powered by an automatic movement and is water-resistant to 100 meters","{""Brand"": ""Rolex"", ""Reference #"": ""126233G"", ""Serial N."": ""282PXXXX"", ""Movement"": ""Automatic"", ""Crystal"": ""Sapphire Crystal"", ""Dial"": ""CHAMPAGNE DIAMOND"", ""Bracelet"": ""JUBILEE"", ""Paper Status"": ""20-Jan-2020"", ""Condition"": ""Excellent"", ""Warranty"": ""2 Years"", ""Chrononation SKU"": ""RX1765-02""}",13500.00,"['https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126233G_Champagne_Diamond_Dial_Jan_2020.png?v=1723733833', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126233G_Champagne_Diamond_Dial_Jan_2020.jpg?v=1723733840', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126233G_Champagne_Diamond_Dial_Jan_2020-3.jpg?v=1723733847', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126233G_Champagne_Diamond_Dial_Jan_2020-4.jpg?v=1723733854', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126233G_Champagne_Diamond_Dial_Jan_2020-5.jpg?v=1723733861', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126233G_Champagne_Diamond_Dial_Jan_2020-6.jpg?v=1723733868', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_126233G_Champagne_Diamond_Dial_Jan_2020-7.jpg?v=1723733876']"
Rolex Air-King 116900 Black Dial Aug 2017,"The Rolex Air-King 116900 is a luxury pilot's watch that is known for its durability, accuracy, and water resistance. It is a popular choice among professionals and watch collectors alike. The Air-King 116900 features a 40mm stainless steel case with a black dial with date window, and a screw-down crown. It is powered by an automatic movement and is water-resistant to 100 meters. The Air-King 116900 also features a 3-6-9 hour markers, which is a classic design element of pilot's watches","{""Brand"": ""Rolex"", ""Reference #"": ""116900"", ""Serial N."": ""TF34XXXX"", ""Movement"": ""Automatic"", ""Crystal"": ""Sapphire Crystal"", ""Dial"": ""BLACK"", ""Bracelet"": ""OYSTER"", ""Paper Status"": ""29-Aug-2017"", ""Condition"": ""Excellent"", ""Warranty"": ""2 Years"", ""Chrononation SKU"": ""RX1764-02""}",7100.00,"['https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Air-King_116900_Black_Dial_Aug_2017.png?v=1723733607', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Air-King_116900_Black_Dial_Aug_2017.jpg?v=1723733614', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Air-King_116900_Black_Dial_Aug_2017-3.jpg?v=1723733622', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Air-King_116900_Black_Dial_Aug_2017-4.jpg?v=1723733628', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Air-King_116900_Black_Dial_Aug_2017-5.jpg?v=1723733636']"
Rolex Submariner Date 116610LV Hulk Mar 2016,"The Rolex Submariner 'HULK' 116610LV is a luxury automatic watch that is known for its stylish design, Swiss craftsmanship, and high-quality materials. This particular model is made of stainless steel and features a beautiful green dial, green bezel, oyster bracelet, and sapphire crystal. The watch is 40mm in size and is water-resistant to 100 meters. It also features an in-house caliber 3135 movement, which is a testament to its accuracy and reliability.","{""Brand"": ""Rolex"", ""Reference #"": ""116610LV"", ""Serial N."": ""P412XXXX"", ""Movement"": ""Automatic"", ""Crystal"": ""Sapphire Crystal"", ""Dial"": ""HULK"", ""Bracelet"": ""OYSTER"", ""Paper Status"": ""01-mar-2016"", ""Condition"": ""Excellent"", ""Warranty"": ""2 Years"", ""Chrononation SKU"": ""RX1763-02""}",17900.00,"['https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Submariner_Date_116610LV_Hulk_Mar_2016.png?v=1723732599', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Submariner_Date_116610LV_Hulk_Mar_2016.jpg?v=1723732606', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Submariner_Date_116610LV_Hulk_Mar_2016-3.jpg?v=1723732613', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Submariner_Date_116610LV_Hulk_Mar_2016-4.jpg?v=1723732620', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Submariner_Date_116610LV_Hulk_Mar_2016-5.jpg?v=1723732631', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Submariner_Date_116610LV_Hulk_Mar_2016-6.jpg?v=1723732638', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Submariner_Date_116610LV_Hulk_Mar_2016-7.jpg?v=1723732644']"
Rolex Cosmograph Daytona 116508 Green Dial,"The Rolex Cosmograph Daytona 116508 is a classic luxury watch that is known for its timeless design, durability, and accuracy. It is a popular choice among professionals and watch collectors alike. The Cosmograph Daytona 116508 features a 40mm stainless steel case with a white gold bezel, a green dial with chronograph and tachymeter functions, and a date window at 3 o'clock. It is powered by an automatic movement and is water-resistant to 100 meters.","{""Brand"": ""Rolex"", ""Reference #"": ""116508"", ""Serial N."": ""281GXXXX"", ""Movement"": ""Automatic"", ""Crystal"": ""Sapphire Crystal"", ""Dial"": ""GREEN"", ""Bracelet"": ""OYSTER"", ""Paper Status"": ""-"", ""Condition"": ""Excellent"", ""Warranty"": ""2 Years"", ""Chrononation SKU"": ""RX1761-02""}",66500.00,"['https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Cosmograph_Daytona_116508_Green_Dial.png?v=1723732085', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Cosmograph_Daytona_116508_Green_Dial.jpg?v=1723732092', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Cosmograph_Daytona_116508_Green_Dial-3.jpg?v=1723732099', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Cosmograph_Daytona_116508_Green_Dial-4.jpg?v=1723732106', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Cosmograph_Daytona_116508_Green_Dial-5.jpg?v=1723732113', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Cosmograph_Daytona_116508_Green_Dial-6.jpg?v=1723732120', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Cosmograph_Daytona_116508_Green_Dial-7.jpg?v=1723732128']"
Rolex Datejust 116234G Silver Diamond Dial Mar 2014,"The Rolex Datejust 116234G is a classic luxury watch that is known for its timeless design, durability, and accuracy. It is a popular choice among professionals and watch collectors alike. The Datejust 116234G features a 36mm stainless steel case with a jubilee bezel, a silver diamond dial with Roman numerals and a date window at 3 o'clock. It is powered by an automatic movement and is water-resistant to 100 meters.","{""Brand"": ""Rolex"", ""Reference #"": ""116234G"", ""Serial N."": ""9811XXXX"", ""Movement"": ""Automatic"", ""Crystal"": ""Sapphire Crystal"", ""Dial"": ""SILVER DIAMOND"", ""Bracelet"": ""JUBILEE"", ""Paper Status"": ""26-mar-2014"", ""Condition"": ""Excellent"", ""Warranty"": ""2 Years"", ""Chrononation SKU"": ""RX1760-02""}",8650.00,"['https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_116234G_Silver_Diamond_Dial_Mar_2014.png?v=1723731742', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_116234G_Silver_Diamond_Dial_Mar_2014.jpg?v=1723731749', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_116234G_Silver_Diamond_Dial_Mar_2014-3.jpg?v=1723731766', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_116234G_Silver_Diamond_Dial_Mar_2014-4.jpg?v=1723731773', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_116234G_Silver_Diamond_Dial_Mar_2014-5.jpg?v=1723731780', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_116234G_Silver_Diamond_Dial_Mar_2014-6.jpg?v=1723731788', 'https://cdn.shopify.com/s/files/1/0059/5152/0820/files/Rolex_Datejust_116234G_Silver_Diamond_Dial_Mar_2014-7.jpg?v=1723731796']"
